Audio path,Text
tulu_spliced_audio/kudla_cafe/kudla_cafe_1.mp3,i will do it peter what will i get in return
tulu_spliced_audio/kudla_cafe/kudla_cafe_2.mp3,i guarantee you can’t do it bhaskar
tulu_spliced_audio/kudla_cafe/kudla_cafe_3.mp3,even if you have a lifetime
tulu_spliced_audio/kudla_cafe/kudla_cafe_4.mp3,are you challenging me
tulu_spliced_audio/kudla_cafe/kudla_cafe_5.mp3,i will talk to her peter what will you give
tulu_spliced_audio/kudla_cafe/kudla_cafe_6.mp3,two plates of banana podi in kudla café kay
tulu_spliced_audio/kudla_cafe/kudla_cafe_7.mp3,do you agree
tulu_spliced_audio/kudla_cafe/kudla_cafe_8.mp3,1 will offer you three plates
tulu_spliced_audio/kudla_cafe/kudla_cafe_9.mp3,you better pay first i don’t trust you
tulu_spliced_audio/kudla_cafe/kudla_cafe_10.mp3,consider
tulu_spliced_audio/kudla_cafe/kudla_cafe_11.mp3,you will surely lose the money
tulu_spliced_audio/kudla_cafe/kudla_cafe_12.mp3,hear that
tulu_spliced_audio/kudla_cafe/kudla_cafe_13.mp3,no way raghu
tulu_spliced_audio/kudla_cafe/kudla_cafe_14.mp3,when will he speak her brother might kill him
tulu_spliced_audio/kudla_cafe/kudla_cafe_15.mp3,let’s see
tulu_spliced_audio/kudla_cafe/kudla_cafe_16.mp3,okay see
tulu_spliced_audio/kudla_cafe/kudla_cafe_17.mp3,she will be here soon
tulu_spliced_audio/kudla_cafe/kudla_cafe_18.mp3,what mischief are you boys up to today
tulu_spliced_audio/kudla_cafe/kudla_cafe_19.mp3,quiet pandu uncle
tulu_spliced_audio/kudla_cafe/kudla_cafe_20.mp3,go fry two plates of banana podi
tulu_spliced_audio/kudla_cafe/kudla_cafe_21.mp3,oh man she is coming she is coming
tulu_spliced_audio/kudla_cafe/kudla_cafe_22.mp3,may i borrow your accounts book
tulu_spliced_audio/kudla_cafe/kudla_cafe_23.mp3,youre not in college right
tulu_spliced_audio/kudla_cafe/kudla_cafe_24.mp3,then why do you need my book
tulu_spliced_audio/kudla_cafe/kudla_cafe_25.mp3,i may need it for next year
tulu_spliced_audio/kudla_cafe/kudla_cafe_26.mp3,i feel i might lose the bet today
tulu_spliced_audio/kudla_cafe/kudla_cafe_27.mp3,hey that’s her brother right
tulu_spliced_audio/kudla_cafe/kudla_cafe_28.mp3,what a fool bhaskar is he is done for
tulu_spliced_audio/kudla_cafe/kudla_cafe_29.mp3,first clear the exams
tulu_spliced_audio/kudla_cafe/kudla_cafe_30.mp3,then well see
tulu_spliced_audio/kudla_cafe/kudla_cafe_31.mp3,today he is screwed
tulu_spliced_audio/kudla_cafe/kudla_cafe_32.mp3,how come you are here how come
tulu_spliced_audio/kudla_cafe/kudla_cafe_33.mp3,who is he
tulu_spliced_audio/kudla_cafe/kudla_cafe_34.mp3,is he bothering you
tulu_spliced_audio/kudla_cafe/kudla_cafe_35.mp3,book is this a place to ask for a book
tulu_spliced_audio/kudla_cafe/kudla_cafe_36.mp3,why are you acti ng like a fool
tulu_spliced_audio/kudla_cafe/kudla_cafe_37.mp3,what are you looking at
tulu_spliced_audio/kudla_cafe/kudla_cafe_38.mp3,nothing but i will never forget this day
tulu_spliced_audio/kudla_cafe/kudla_cafe_39.mp3,bloody cheapsters
tulu_spliced_audio/kudla_cafe/kudla_cafe_40.mp3,he is still not here
tulu_spliced_audio/kudla_cafe/kudla_cafe_41.mp3,must be still asleep
tulu_spliced_audio/kudla_cafe/kudla_cafe_42.mp3,is this a day to be late idiot
tulu_spliced_audio/kudla_cafe/kudla_cafe_43.mp3,still sleeping what are you saying
tulu_spliced_audio/kudla_cafe/kudla_cafe_44.mp3,he wouldnt have slept all night
tulu_spliced_audio/kudla_cafe/kudla_cafe_45.mp3,the finals would have kept him awake
tulu_spliced_audio/kudla_cafe/kudla_cafe_46.mp3,bhaskar do you know where he is
tulu_spliced_audio/kudla_cafe/kudla_cafe_47.mp3,come on boys focus concentrate
tulu_spliced_audio/kudla_cafe/kudla_cafe_48.mp3,i am confident he will surely come
tulu_spliced_audio/kudla_cafe/kudla_cafe_49.mp3,my son after all being called a kabadi player
tulu_spliced_audio/kudla_cafe/kudla_cafe_50.mp3,but if you still want to go
tulu_spliced_audio/kudla_cafe/kudla_cafe_51.mp3,then forget about your parents
tulu_spliced_audio/kudla_cafe/kudla_cafe_52.mp3,you can sleep on the kabadi ground itself
tulu_spliced_audio/kudla_cafe/kudla_cafe_53.mp3,weve worked hard to reach till here
tulu_spliced_audio/kudla_cafe/kudla_cafe_54.mp3,i promise i wont play anything ever again
tulu_spliced_audio/kudla_cafe/kudla_cafe_55.mp3,i am not stopping you
tulu_spliced_audio/kudla_cafe/kudla_cafe_56.mp3,go go and play today as well
tulu_spliced_audio/kudla_cafe/kudla_cafe_57.mp3,but i will disown a dishonest son
tulu_spliced_audio/kudla_cafe/kudla_cafe_58.mp3,who lied to his father to play a silly game
tulu_spliced_audio/kudla_cafe/kudla_cafe_59.mp3,i am sorry for being dishonest with you dad
tulu_spliced_audio/kudla_cafe/kudla_cafe_60.mp3,but if i would have told you the truth you have let me play at all
tulu_spliced_audio/kudla_cafe/kudla_cafe_61.mp3,so you played even after knowing i wont approve of it
tulu_spliced_audio/kudla_cafe/kudla_cafe_62.mp3,but i think you should come once
tulu_spliced_audio/kudla_cafe/kudla_cafe_63.mp3,you should see how well i play
tulu_spliced_audio/kudla_cafe/kudla_cafe_64.mp3,all the best for your match
tulu_spliced_audio/kudla_cafe/kudla_cafe_65.mp3,why did you come now
tulu_spliced_audio/kudla_cafe/kudla_cafe_66.mp3,don’t hit him
tulu_spliced_audio/kudla_cafe/kudla_cafe_67.mp3,its done now leave it
tulu_spliced_audio/kudla_cafe/kudla_cafe_68.mp3,don’t show me your face
tulu_spliced_audio/kudla_cafe/kudla_cafe_69.mp3,raghu ive a meeting with a supplier
tulu_spliced_audio/kudla_cafe/kudla_cafe_70.mp3,ill see you at the office
tulu_spliced_audio/kudla_cafe/kudla_cafe_71.mp3,oh okay dad
tulu_spliced_audio/kudla_cafe/kudla_cafe_72.mp3,come soon dear its getting late
tulu_spliced_audio/kudla_cafe/kudla_cafe_73.mp3,kabadi kabadi hold your hands properly
tulu_spliced_audio/kudla_cafe/kudla_cafe_74.mp3,i will pick you up in the afternoon after work
tulu_spliced_audio/kudla_cafe/kudla_cafe_75.mp3,okay dad bye
tulu_spliced_audio/kudla_cafe/kudla_cafe_76.mp3,i have asked to prepare chickpea and ivy gourd curry
tulu_spliced_audio/kudla_cafe/kudla_cafe_77.mp3,lets have our lunch together okay
