
### RESULTS FROM LATTICE TM ###

ref: hlkaːnfiːhuːkّaːiːduːaːlʕaːmaːlmaːdˤiː؟ hyp: it̪ʰjiʃihxiat̪ʰ cer: 89.74
ref: kiːfkaːntʔid͡ʒaːztk؟ hyp: sit̪ʰaijw cer: 85.0
ref: mniːaːtrىsiːkʃfʔasraːraːlmħiːtˤ؟ hyp: muifjraslfa cer: 81.25
ref: aٕniːʔaqrʔaktaːbaːًʕnaːlħiːuːaːnaːt hyp: it̪ʰbt̪ʰwrt̪ʰilix cer: 88.57
ref: alftaːةtʃʕrbaːluːħdة hyp: aʒiixbmil cer: 85.0
ref: tʕaːlʔilىhnaːħaːlaːً hyp: t̪ʰlal cer: 80.0
ref: aٕnhuːsiːmuːðkiː hyp: zhaaʒj cer: 93.75
ref: tduːraːlʔardˤ hyp: t̪ʰawz cer: 84.62
ref: sُrqmnzlnaːʕndmaːknaːmsaːfriːn hyp: zazabuf cer: 86.67
ref: aٕnhaːlaːtʔaklʔilaːaːlxdˤaːr hyp: ikʰʒilam cer: 85.71
ref: aٔxðtmuːʕdaːًmʕaːltˤbiːbʕndaːlraːbʕة hyp: mwhrbja cer: 91.67
ref: ðlkkaːnʔarnuːbaːًʃriːraːً hyp: jt̪ʰazhrhurj cer: 84.0
ref: aٔiːtˤaːlbiːmknhaːlrdʕlىhðaːaːlsuːٔaːl hyp: asjd̪iufhaisilz cer: 86.84
ref: aٔnaːfiːlndn hyp: ifilub cer: 75.0
ref: aٔnaːbdiːnd͡ʒdaːً hyp: ilimajzsi cer: 94.12
ref: mstħiːl hyp: wizxaj cer: 100.0
ref: aٔtʕrfkiːftlʕbaːlʃtˤrnd͡ʒ؟ hyp: zalihifisirhlxmimix cer: 88.46
ref: aٔħbhaː hyp: bx cer: 85.71
ref: aٔiːmknkmlaːħðˤةaːlfrq؟ hyp: xaxaimlsjwi cer: 91.3
ref: ldiːkaːlkθiːrmnaːlktb hyp: t̪ʰikʰsjxwbijʒbw cer: 95.24
ref: ldiːaːlqliːlmnaːlmaːl hyp: luxaljj cer: 85.71
ref: ʔamskh hyp: iljʃ cer: 100.0
ref: aٔʕtˤtniːd͡ʒuːlةfiːaːlħrmaːld͡ʒaːmʕiː hyp: izwliusasim cer: 86.49
ref: kʔanّhðhaːlsiːaːrةlh hyp: wjt̪ʰasa cer: 85.0
ref: ðhbnaːʔilىlndnaːlsnةaːlmaːdˤiːة hyp: bslbbsi cer: 87.1
ref: lmʔasmʕʃiːiːٔaːً hyp: iflas cer: 87.5
ref: aٕbħθʕnluːħةtħmlrqmuːaːħdmktuːbaːًbxtˤkbiːr hyp: izfzmframt̪ʰabmaf cer: 83.72
ref: aٕd͡ʒlsiːiːaːkiːt hyp: iʃij cer: 88.24
ref: aٔiːmknniːʔanʔaklmaːltˤbiːb؟ hyp: iflmflm cer: 85.71
ref: aٔnaːd͡ʒaːiːٔʕ،lðlksʔaðhbltnaːuːlbʕdˤaːltˤʕaːm hyp: ʃzswarw cer: 95.65
ref: aʃtriːtktaːbaːًʕnaːlħiːuːaːnaːt hyp: iut̪ʰwasbrl cer: 87.1
ref: hðhaːlʔardˤmnʔamlaːkiː hyp: zjhalifj cer: 86.36
ref: hlhnaːkmaːlmʔadˤʕfiːaːlʔiʕtbaːr؟ hyp: llit̪ʰlliʃjli cer: 84.38
ref: hld͡ʒُnِnْt؟ hyp: iijli cer: 100.0
ref: antbh hyp: azl cer: 80.0
ref: d͡ʒiːٔthnaːbaːlʔams hyp: d̪ad̪aiʃ cer: 84.21
ref: maːðaː؟laːʔasmʕk hyp: ʃ cer: 100.0
ref: sˤʕdtʔilىaːlħaːflةaːlxtˤʔa hyp: sjasjat̪ʰs cer: 84.62
ref: lmiːsˤdّqʔaħdqsˤّth hyp: jijaʃiaʃi cer: 89.47
ref: bmaːðaːʔad͡ʒbt؟ hyp: iizilrl cer: 100.0
ref: aٔiːnknttsknaːlsnةaːlmaːdˤiːة؟ hyp: iiixwwxiflami cer: 83.33
ref: biːlʔakbrmniːbsntiːn hyp: bt̪ʰwalaasu cer: 85.0
ref: hðaːliːsktaːbkblktaːbiː hyp: at̪ʰjxbxat̪ʰ cer: 82.61
ref: kmtˤuːlk؟ hyp: xuluʒx cer: 88.89
ref: nuːiːtʔanʔazuːrklkniːkntʃɣuːlaːًtˤuːaːlaːlʔasbuːʕ hyp: jd̪iaft̪ʰiʃii cer: 91.84
ref: aٔntfiːlsuːf،ʔaliːskðlk؟ hyp: iafliʃiazaxsi cer: 83.33
ref: tʕzfʔamiːʕlىaːlbiːaːnuːbmhaːrة hyp: sfwwmifiarjbui cer: 80.0
ref: luːʔanّniːkntʔaʕrf hyp: imihut̪ʰʃ cer: 88.89
ref: hltlsʕhðhaːlħʃraːt؟ hyp: xaizxafaʃ cer: 89.47
ref: laːiːqaːlbʕdaːlʔaːbaːءʔakluːaːaːlħsˤrmuːʔasnaːnaːlbniːntdˤrs hyp: jixirulilziit̪ʰiisasaiiuiuiuijis cer: 85.0
ref: anðˤrʔiliːّ hyp: aurjli cer: 63.64
ref: nðˤfʔasnaːnk hyp: xisfmimiʒ cer: 91.67
ref: tˤlbtmnaːʔanntrkhaːuːħdhaː hyp: bwjafzshx cer: 88.46
ref: hmaːfiːaːlɣrfة hyp: aifulaf cer: 71.43
ref: θmʔasrʕtʔilىaːlmnzl hyp: xuzasl cer: 84.21
ref: aٕnnaːmsuːٔuːluːnʕnħmaːiːtkmnaːlʔaːnfsˤaːʕdaːً hyp: ilsilwhfabixhjaslʃʃhht̪ʰ cer: 86.96
ref: aٔliːbhðhaːlbrtqaːlة؟ hyp: sjmjamaj cer: 90.48
ref: mrّtʃaːħnةfuːqaːlklb hyp: lmsaʃifisjsaz cer: 90.0
ref: aِxtaːrtaːlfstaːnaːlʔaħmr hyp: ast̪ʰuhaʃbist̪ʰuluswa cer: 76.0
ref: taːkʃiːiːktbmðkrةiːuːmiːةbaːllɣةaːlʔind͡ʒliːziːة hyp: jswwzlt̪ʰabrfj cer: 95.83
ref: luːkaːnʕndiːsiːaːrةlðhbtʔilىaːlmktbة hyp: iit̪ʰxiamjmamijma cer: 88.89
ref: rʔaىaːlħaːdθuːhuːfiːtˤriːqhʔilىaːlmdrsة hyp: ikʰat̪ʰsfialixasbw cer: 87.18
ref: alsiːdfuːrdiːmlkhðhaːlʔardˤ hyp: aiifhufi cer: 85.19
ref: aٔntaːlʃxsˤaːluːħiːd hyp: ʃusasi cer: 80.0
ref: lniːħdθðlk hyp: muiilis cer: 90.0
ref: aٕmdˤaːsmkfiːaːlʔasflʔiðaːsmħt hyp: ssfsrf cer: 86.67
ref: bkىaːltˤflħtىnaːm hyp: makʰilfluxla cer: 76.47
ref: rfdˤtmsaːʕdtiː hyp: izzais cer: 85.71
ref: iːmknkaːstʕaːrةaːlktaːbbʃrtˤʔantħaːfðˤʕliːh hyp: lfut̪ʰifiilisjmf cer: 93.02
ref: kmuːldaːًldiːk؟ hyp: xaliibai cer: 80.0
ref: maːðaːʔad͡ʒbth؟ hyp: masai cer: 80.0
ref: ðhbtʔilىʔiiːtˤaːliːaːltdrsaːlmuːsiːqى hyp: izjʃir cer: 91.89
ref: hliːmknniːʔanʔatˤrħbʕdˤaːlʔasiːٔlة؟ hyp: t̪ʰʃjifsifwblsili cer: 82.86
ref: tðˤaːhrtbʔanhaːmriːdˤة hyp: zaxiisihlaʃw cer: 90.91
ref: hlðhbtkaːθiːkðlk؟ hyp: alflkʰazxs cer: 88.24
ref: ttkuːnaːlhiːiːٔةmnʔarbʕةʔaʕdˤaːء hyp: fufit̪ʰwwasuxalasm cer: 84.38
ref: xðuːqtk hyp: xakʰʃ cer: 85.71
ref: tbduːʃaːħbaːً hyp: ixaa cer: 84.62
ref: liːshnaːkmaːiːnqsˤ hyp: ziwila cer: 88.89
ref: aٕnhaːmaːhrةfiːtħdθaːlʔind͡ʒliːziːة hyp: xzxzlljzj cer: 91.43
ref: ldiːθlaːθkaːmiːraːt hyp: t̪ʰad̪t̪ʰm cer: 89.47
ref: aٔʕrf hyp: alx cer: 80.0
ref: txaːfmaːriːmnaːlklaːb hyp: t̪ʰwsaʃfjsh cer: 90.48
ref: siːsˤbħaːbniːmʕlmaːً hyp: smf cer: 90.0
ref: aٕðaːmaːkntðaːqlbqnuːʕfʔantuːmaːlkaːldniːaːsuːaːء hyp: jlifujad̪xʃi cer: 89.8
ref: klmaːʕliːkfʕlhhuːʔantkbsaːlzr hyp: xilrixilirilf cer: 89.66
ref: bqiːaːlʔauːlaːdhaːdiːٔiːn hyp: uxt̪ʰjsrd̪whb cer: 92.0
ref: iːlʕbkِnkrةaːlqdmkliːuːm hyp: jlmaxiailaʒari cer: 83.33
ref: klmnfhmniːhmħfnةmnaːlnaːs hyp: maʃbmljxzrt̪ʰijmif cer: 92.0
ref: lmnhðhaːlluːħaːt؟ hyp: ft̪ʰxhj cer: 94.12
ref: iːaːʔasfaːhʕlىqlbtħd͡ʒr hyp: zizasljmaʃur cer: 82.61
ref: ldiːqlm hyp: fajb cer: 100.0
ref: bdʔattʕlّmaːlsˤiːniːةaːlʔasbuːʕaːlmaːdˤiː hyp: mt̪ʰrfit̪ʰzumma cer: 87.8
ref: laːiːʃrbʔaiːmnʔasˤdqaːiːٔiːaːlqhuːة hyp: jxaasfikʰax cer: 85.71
ref: alʔarnbldiːhʔaðnaːntˤuːiːltaːn hyp: lhmljuzairmrt̪ʰ cer: 86.67
ref: nħnmsruːruːn hyp: laxlalsf cer: 100.0
ref: axiːaːlaːsˤɣrrbthd͡ʒdtiː hyp: sslilwd̪t̪ʰj cer: 91.67
ref: fqdttðkrtiː hyp: sxjid̪j cer: 100.0
ref: aٕnhlaːʕbtns hyp: iraja cer: 91.67
ref: sˤħħaːlʔaxtˤaːء،ʔinuːُd͡ʒdt hyp: shfmaawwji cer: 85.19
ref: uːɣaːlbaːًmaːtُʕrfd͡ʒliːsةaːlʔatˤfaːlaːlmħtrfةbʔanhaːd͡ʒliːsةʔatˤfaːl hyp: t̪ʰmsbwsassrsfft̪ʰas cer: 88.41
ref: nsˤħhaːaːltˤbiːbbʔaxðʔid͡ʒaːzة hyp: zasfmflis cer: 93.33
ref: tʕaːfىʕmّiːmnmrdˤhkliːّaːً hyp: ximʃilimhbl cer: 80.77
ref: lmiːknldiːhaːmaːtfʕlhbaːlʔams hyp: riaxjibixiwhbli cer: 82.76
ref: aٔldiːkaːlkθiːrmnaːluːqt؟ hyp: iit̪ʰiz cer: 92.0
ref: lmَlmtsˤdqniː؟ hyp: iiirusl cer: 92.86
ref: tbduːmtʕbaːً hyp: asas cer: 91.67
ref: aٔriːdʔanʔasˤbħtˤbiːbaːً hyp: sjfiam cer: 87.5
ref: aٔntʔadnىmniːmnzlة hyp: aamililfuf cer: 77.78
ref: hَðِhaːlْsَّiːَّaːrَةfِiːħَaːlَةmُmْtَaːzَة hyp: ljxizjaum cer: 90.7
ref: tlksiːaːrth hyp: likʰusia cer: 81.82
ref: tˤlىaːlbaːbbaːlluːnaːlʔazrq hyp: umaru cer: 88.89
ref: maːʔatˤiːbqlbk hyp: bfilrfaubrx cer: 92.86
ref: aʃtriːtħaːsuːbaːًd͡ʒdiːdaːًaːlʃhraːlmaːdˤiː hyp: rwwmlflifl cer: 93.02
ref: ðhbtllnuːmmtʔaxraːًʔakθrmnaːlʕaːdة hyp: sit̪ʰirjsiʃj cer: 94.12
ref: maːʔaqsˤraːlħiːaːة hyp: ʃlf cer: 94.44
ref: iːtħdθd͡ʒaːkaːlʔind͡ʒliːziːة hyp: jsld̪xl cer: 89.29
ref: sˤuːthaːnaːʕmuːuːaːdˤħ hyp: fumt̪ʰuahrw cer: 81.82
ref: ðhbblaːlʔilىaːlmdrsة hyp: md̪jzzd̪auʃa cer: 95.0
ref: siːqaːmħflzfaːfhmɣdaːً hyp: fslism cer: 90.91
ref: sˤuːtbtiːd͡ʒmiːl hyp: ʃʒabit̪ʰim cer: 81.25
ref: mbiːʕaːtaːlsiːaːraːtaːliːaːbaːniːةfiːaːlxaːrd͡ʒd͡ʒiːdة hyp: maslmlximirt̪ʰi cer: 85.19
ref: adˤrbʕsˤfuːriːnbħd͡ʒr hyp: asfmmias cer: 80.95
ref: aٕnhʃxsˤʔanaːniːllɣaːiːة hyp: irwxsaiii cer: 79.17
ref: hlstbiːʕmnzlklh؟ hyp: imzjit̪ʰ cer: 81.25
ref: qaːlθqbiː hyp: falmusxi cer: 77.78
ref: aٔħbaːlrħlaːt hyp: ufaxu cer: 92.31
ref: hkðaːkaːntaːlʔamuːrdaːiːٔmًaː hyp: wkʰjlat̪ʰmai cer: 79.31
ref: d͡ʒaːءliːtˤlbmnaːʔannsaːʕdh hyp: mwaifw cer: 92.59
ref: ʕiːdmiːlaːdsʕiːdmiːuːriːl hyp: ijbliiiʃawlblj cer: 84.0
ref: aٔxbrniːʔaiːnʔadˤʕhðhaːlktb hyp: umuxbz cer: 96.3
ref: qaːlfiːliːbtʕaːluːtħqqbnfsk hyp: hʃlflsxfs cer: 81.48
ref: lqdaːsˤbħtaːmrʔaةbaːlɣة hyp: zxshd̪ilshrrl cer: 86.96
ref: aٔʕtˤniːaːlħsaːbmnfdˤlk hyp: t̪ʰazalbzhaf cer: 82.61
ref: hltnuːiːʔantsaːʕdhm؟ hyp: ilt̪ʰzrjmil cer: 90.0
ref: aٔʃrtʔiliːh hyp: ixaij cer: 90.91
ref: iːʕmld͡ʒuːnbd͡ʒdّ hyp: mwxmixi cer: 94.12
ref: ldىbtiːsˤuːtrqiːq hyp: amabit̪ʰlwrri cer: 76.47
ref: tʕaːlmʕnaː hyp: t̪ʰlil cer: 80.0
ref: hltdrsaːllɣةaːlʔinkliːziːة؟ hyp: iuzujwz cer: 92.59
ref: tmtnfiːðd͡ʒmiːʕaːlʕmliːaːtmnmuːntriːaːluːtuːruːntuː hyp: alat̪ʰuailimajibiuaxiaf cer: 84.31
ref: hðhaːlʔisuːrةʔaɣlىmntlk hyp: ʃlamsulbiʃ cer: 82.61
ref: aٔʕrfʔanhfʕlðlk hyp: ijxwmsilx cer: 93.33
ref: mnʔaθqlbِnʔammaːiːk؟ hyp: ixaimibit̪ʰ cer: 85.0
ref: aٔʕmlkliːuːmʕdaːiːuːmaːlʔaħd hyp: uxlalail cer: 82.14
ref: lmiːknhnaːkʔaħdfiːaːlɣrfة hyp: liiaiʒuʒiaiaʃi cer: 80.0
ref: mnktbhaːmlt؟ hyp: mʃsamibsx cer: 83.33
ref: lkmʔariːdaːlħsˤuːlʕlىkaːmiːraːmθltlk hyp: urisasakʰiifrit̪ʰa cer: 80.56
ref: aٕnhaːtquːmbsˤrfaːlkθiːrmnaːlmaːlʕlىaːlktb hyp: at̪ʰimrifilxisfiaiha cer: 80.95
ref: aٕnhlaːiːɣiːrrʔaiːhʔabdaːً hyp: xuaxuama cer: 88.46
ref: tlkktbhm hyp: bixul cer: 100.0
ref: aٔiːntuːniː؟ hyp: iifli cer: 83.33
ref: mniːmlkqtˤʕةaːlʔardˤhðh؟ hyp: mmmʃat̪ʰsuruxzlzh cer: 83.33
ref: laː،laːʔaʕtqdðlk hyp: lt̪ʰlj cer: 81.25
ref: tbduːkʔanhaːskraːnة hyp: at̪ʰwkʰuamaxaslri cer: 84.21
ref: kaːnldiːnaːθlaːθtˤaːiːٔraːt hyp: mrisizwaa cer: 88.89
ref: sʔatrkkɣdaːً hyp: airiim cer: 83.33
ref: klmaːʕliːkfʕlhhuːħfðˤhðhaːld͡ʒmlةʕnðˤhrqlb hyp: rizit̪ʰt̪ʰfʃ cer: 95.24
ref: astmrtaːlħrbqraːbةaːlsntiːn hyp: lwxd̪jmfwllrfilzi cer: 88.89
ref: lmiːʕd͡ʒbniːðlk hyp: iiiʃ cer: 86.67
ref: huːٔlaːءʔasˤdqaːءٌqdiːmuːn hyp: hilafxat̪ʰjb cer: 84.62
ref: lnɣniːhðhaːlʔaɣniːةbaːlʔind͡ʒliːziːة hyp: illizhlisbz cer: 83.33
ref: aٔxiːsˤɣiːraːlbniːةʔilaːʔanhquːiː hyp: rsjsaaalma cer: 87.88
ref: ldiːaːmtħaːnɣdaːً hyp: mt̪ʰiult̪ʰ cer: 88.24
ref: dʕniːuːʃʔaniː hyp: lusa cer: 84.62
ref: iːbduːmnmnðˤraːlsmaːءʔanhaːmnaːlmmknʔantmtˤraːliːuːmbʕdaːlðˤhr hyp: wlmarʃafiwlkʰat̪ʰilsmfiibimw cer: 83.87
ref: ħaːuːlʔaniːtxlsˤmnaːlnml hyp: iufuljaa cer: 83.33
ref: iːlʕbbmhaːrة hyp: mbmx cer: 83.33
ref: iːmknkaːlðhaːbʔilىhnaːk hyp: ilkʰzaajlrazi cer: 73.91
ref: kaːnbuːbsʕiːdaːًllɣaːiːة hyp: mbzurlmj cer: 91.67
ref: mʃkltkʃbiːhةbmʃkltiː hyp: hixjufiamjamaxft̪ʰj cer: 90.0
ref: laːiːmknllħd͡ʒaːrةʔantsbħ hyp: ilrxt̪ʰafli cer: 88.0
